TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:46:59.000000000,2240.74951624415,-5140.7052767848,-4152.90101657352
1 Jan 2020 20:47:00.000000000,2240.93751372057,-5145.45143353418,-4146.91748115511
1 Jan 2020 20:47:01.000000000,2241.12220261057,-5150.19160891141,-4140.92908116444
1 Jan 2020 20:47:02.000000000,2241.30358357136,-5154.92579689855,-4134.9358236264
1 Jan 2020 20:47:03.000000000,2241.48165726457,-5159.65399148514,-4128.93771557126
1 Jan 2020 20:47:04.000000000,2241.656424357,-5164.37618666736,-4122.93476403532
1 Jan 2020 20:47:05.000000000,2241.82788551976,-5169.09237644895,-4116.92697606021
1 Jan 2020 20:47:06.000000000,2241.996041429,-5173.80255484035,-4110.91435869358
1 Jan 2020 20:47:07.000000000,2242.16089276552,-5178.50671585937,-4104.89691898849
1 Jan 2020 20:47:08.000000000,2242.32244021496,-5183.20485353089,-4098.87466400367
1 Jan 2020 20:47:09.000000000,2242.48068446732,-5187.89696188688,-4092.84760080372
1 Jan 2020 20:47:10.000000000,2242.63562621784,-5192.5830349665,-4086.81573645858
1 Jan 2020 20:47:11.000000000,2242.78726616607,-5197.26306681599,-4080.77907804413
1 Jan 2020 20:47:12.000000000,2242.93560501634,-5201.93705148895,-4074.73763264156
1 Jan 2020 20:47:13.000000000,2243.0806434779,-5206.60498304584,-4068.69140733798
1 Jan 2020 20:47:14.000000000,2243.22238226462,-5211.26685555449,-4062.64040922589
1 Jan 2020 20:47:15.000000000,2243.36082209521,-5215.92266308989,-4056.58464540338
1 Jan 2020 20:47:16.000000000,2243.49596369272,-5220.57239973416,-4050.52412297436
1 Jan 2020 20:47:17.000000000,2243.62780778541,-5225.21605957668,-4044.45884904802
1 Jan 2020 20:47:18.000000000,2243.75635510577,-5229.85363671398,-4038.38883073943
1 Jan 2020 20:47:19.000000000,2243.88160639145,-5234.48512524977,-4032.31407516898
1 Jan 2020 20:47:20.000000000,2244.00356238451,-5239.11051929515,-4026.23458946264
1 Jan 2020 20:47:21.000000000,2244.12222383166,-5243.72981296825,-4020.15038075216
1 Jan 2020 20:47:22.000000000,2244.23759148458,-5248.34300039458,-4014.06145617449
1 Jan 2020 20:47:23.000000000,2244.34966609953,-5252.95007570669,-4007.96782287245
1 Jan 2020 20:47:24.000000000,2244.45844843758,-5257.55103304458,-4001.86948799408
1 Jan 2020 20:47:25.000000000,2244.56393926415,-5262.14586655541,-3995.76645869321
1 Jan 2020 20:47:26.000000000,2244.66613934983,-5266.73457039359,-3989.65874212899
1 Jan 2020 20:47:27.000000000,2244.76504946944,-5271.31713872099,-3983.54634546603
1 Jan 2020 20:47:28.000000000,2244.86067040295,-5275.89356570638,-3977.42927587467
1 Jan 2020 20:47:29.000000000,2244.95300293456,-5280.46384552626,-3971.30754053044
1 Jan 2020 20:47:30.000000000,2245.04204785362,-5285.02797236399,-3965.18114661465
1 Jan 2020 20:47:31.000000000,2245.12780595371,-5289.58594041065,-3959.05010131374
1 Jan 2020 20:47:32.000000000,2245.21027803343,-5294.13774386426,-3952.91441181994
1 Jan 2020 20:47:33.000000000,2245.28946489608,-5298.68337693032,-3946.77408533069
1 Jan 2020 20:47:34.000000000,2245.36536734929,-5303.2228338218,-3940.62912904886
1 Jan 2020 20:47:35.000000000,2245.4379862058,-5307.75610875865,-3934.47955018299
1 Jan 2020 20:47:36.000000000,2245.50732228262,-5312.28319596855,-3928.32535594675
1 Jan 2020 20:47:37.000000000,2245.57337640185,-5316.80408968613,-3922.16655355951
1 Jan 2020 20:47:38.000000000,2245.63614938982,-5321.31878415373,-3916.00315024582
1 Jan 2020 20:47:39.000000000,2245.695642078,-5325.82727362085,-3909.83515323563
1 Jan 2020 20:47:40.000000000,2245.75185530204,-5330.32955234439,-3903.66256976451
1 Jan 2020 20:47:41.000000000,2245.80478990264,-5334.82561458869,-3897.48540707309
1 Jan 2020 20:47:42.000000000,2245.85444672513,-5339.31545462526,-3891.3036724077
1 Jan 2020 20:47:43.000000000,2245.90082661918,-5343.79906673338,-3885.11737301972
1 Jan 2020 20:47:44.000000000,2245.94393043957,-5348.27644519928,-3878.92651616618
1 Jan 2020 20:47:45.000000000,2245.98375904528,-5352.74758431699,-3872.73110910923
1 Jan 2020 20:47:46.000000000,2246.02031330029,-5357.21247838776,-3866.53115911637
1 Jan 2020 20:47:47.000000000,2246.05359407312,-5361.6711217202,-3860.32667346065
1 Jan 2020 20:47:48.000000000,2246.08360223707,-5366.12350863047,-3854.11765942013
1 Jan 2020 20:47:49.000000000,2246.11033866984,-5370.56963344205,-3847.90412427849
1 Jan 2020 20:47:50.000000000,2246.13380425379,-5375.00949048611,-3841.68607532442
1 Jan 2020 20:47:51.000000000,2246.15399987625,-5379.44307410087,-3835.4635198522
1 Jan 2020 20:47:52.000000000,2246.17092642865,-5383.87037863242,-3829.23646516116
1 Jan 2020 20:47:53.000000000,2246.18458480786,-5388.29139843399,-3823.00491855592
1 Jan 2020 20:47:54.000000000,2246.19497591456,-5392.70612786643,-3816.7688873466
1 Jan 2020 20:47:55.000000000,2246.20210065467,-5397.11456129806,-3810.52837884825
1 Jan 2020 20:47:56.000000000,2246.20595993826,-5401.51669310466,-3804.28340038153
1 Jan 2020 20:47:57.000000000,2246.20655468052,-5405.91251766946,-3798.03395927206
1 Jan 2020 20:47:58.000000000,2246.20388580092,-5410.30202938335,-3791.78006285071
1 Jan 2020 20:47:59.000000000,2246.19795422352,-5414.68522264455,-3785.52171845383
1 Jan 2020 20:48:00.000000000,2246.18876087729,-5419.06209185893,-3779.25893342266
1 Jan 2020 20:48:01.000000000,2246.17630669568,-5423.43263143969,-3772.99171510396
1 Jan 2020 20:48:02.000000000,2246.16059261689,-5427.79683580773,-3766.72007084937
1 Jan 2020 20:48:03.000000000,2246.14161958337,-5432.15469939144,-3760.44400801605
1 Jan 2020 20:48:04.000000000,2246.11938854269,-5436.50621662668,-3754.16353396612
1 Jan 2020 20:48:05.000000000,2246.09390044654,-5440.85138195709,-3747.87865606684
1 Jan 2020 20:48:06.000000000,2246.0651562517,-5445.19018983349,-3741.58938169089
1 Jan 2020 20:48:07.000000000,2246.03315691908,-5449.52263471469,-3735.2957182158
1 Jan 2020 20:48:08.000000000,2245.99790341469,-5453.84871106663,-3728.99767302455
1 Jan 2020 20:48:09.000000000,2245.95939670866,-5458.16841336328,-3722.69525350496
1 Jan 2020 20:48:10.000000000,2245.91763777609,-5462.48173608579,-3716.38846705028
1 Jan 2020 20:48:11.000000000,2245.87262759667,-5466.7886737231,-3710.07732105865
1 Jan 2020 20:48:12.000000000,2245.82436715434,-5471.08922077188,-3703.76182293334
1 Jan 2020 20:48:13.000000000,2245.77285743811,-5475.38337173604,-3697.44198008294
1 Jan 2020 20:48:14.000000000,2245.71809944112,-5479.67112112754,-3691.11779992083
1 Jan 2020 20:48:15.000000000,2245.66009416156,-5483.95246346552,-3684.7892898658
1 Jan 2020 20:48:16.000000000,2245.59884260176,-5488.22739327712,-3678.45645734147
1 Jan 2020 20:48:17.000000000,2245.53434576909,-5492.49590509694,-3672.11930977653
1 Jan 2020 20:48:18.000000000,2245.46660467504,-5496.7579934672,-3665.777854605
1 Jan 2020 20:48:19.000000000,2245.39562033604,-5501.0136529379,-3659.4320992656
1 Jan 2020 20:48:20.000000000,2245.32139377311,-5505.26287806645,-3653.08205120242
1 Jan 2020 20:48:21.000000000,2245.24392601148,-5509.50566341827,-3646.72771786427
1 Jan 2020 20:48:22.000000000,2245.16321808143,-5513.74200356607,-3640.36910670531
1 Jan 2020 20:48:23.000000000,2245.07927101736,-5517.97189309057,-3634.00622518448
1 Jan 2020 20:48:24.000000000,2244.9920858587,-5522.19532657999,-3627.63908076572
1 Jan 2020 20:48:25.000000000,2244.90166364898,-5526.41229863029,-3621.26768091822
1 Jan 2020 20:48:26.000000000,2244.80800543665,-5530.62280384516,-3614.89203311584
1 Jan 2020 20:48:27.000000000,2244.71111227473,-5534.8268368358,-3608.51214483773
1 Jan 2020 20:48:28.000000000,2244.61098522044,-5539.0243922215,-3602.12802356772
1 Jan 2020 20:48:29.000000000,2244.50762533605,-5543.21546462882,-3595.7396767949
1 Jan 2020 20:48:30.000000000,2244.40103368777,-5547.40004869249,-3589.34711201309
1 Jan 2020 20:48:31.000000000,2244.29121134724,-5551.57813905461,-3582.95033672105
1 Jan 2020 20:48:32.000000000,2244.17815938976,-5555.74973036519,-3576.54935842273
1 Jan 2020 20:48:33.000000000,2244.06187889583,-5559.91481728198,-3570.14418462668
1 Jan 2020 20:48:34.000000000,2243.94237095,-5564.07339447045,-3563.73482284671
1 Jan 2020 20:48:35.000000000,2243.81963664184,-5568.2254566038,-3557.32128060128
1 Jan 2020 20:48:36.000000000,2243.69367706512,-5572.37099836315,-3550.90356541376
1 Jan 2020 20:48:37.000000000,2243.56449331813,-5576.51001443722,-3544.48168481267
1 Jan 2020 20:48:38.000000000,2243.43208650408,-5580.64249952259,-3538.05564633106
1 Jan 2020 20:48:39.000000000,2243.29645773008,-5584.76844832365,-3531.62545750723
1 Jan 2020 20:48:40.000000000,2243.15760810869,-5588.88785555246,-3525.19112588398
1 Jan 2020 20:48:41.000000000,2243.01553875608,-5593.00071592901,-3518.75265900933
1 Jan 2020 20:48:42.000000000,2242.87025079359,-5597.10702418102,-3512.31006443588
1 Jan 2020 20:48:43.000000000,2242.72174534659,-5601.2067750442,-3505.86334972107
1 Jan 2020 20:48:44.000000000,2242.57002354549,-5605.29996326174,-3499.41252242745
1 Jan 2020 20:48:45.000000000,2242.41508652469,-5609.38658358508,-3492.95759012203
1 Jan 2020 20:48:46.000000000,2242.25693542362,-5613.46663077307,-3486.49856037699
1 Jan 2020 20:48:47.000000000,2242.09557138587,-5617.54009959276,-3480.03544076898
1 Jan 2020 20:48:48.000000000,2241.93099555941,-5621.6069848189,-3473.56823887977
1 Jan 2020 20:48:49.000000000,2241.76320909745,-5625.66728123394,-3467.09696229568
1 Jan 2020 20:48:50.000000000,2241.59221315687,-5629.72098362856,-3460.6216186078
1 Jan 2020 20:48:51.000000000,2241.41800889966,-5633.76808680089,-3454.14221541225
1 Jan 2020 20:48:52.000000000,2241.24059749182,-5637.80858555734,-3447.65876030958
1 Jan 2020 20:48:53.000000000,2241.05998010435,-5641.84247471181,-3441.17126090541
1 Jan 2020 20:48:54.000000000,2240.87615791225,-5645.86974908643,-3434.67972480988
1 Jan 2020 20:48:55.000000000,2240.68913209553,-5649.89040351104,-3428.18415963783
1 Jan 2020 20:48:56.000000000,2240.49890383816,-5653.90443282342,-3421.68457300912
1 Jan 2020 20:48:57.000000000,2240.30547432902,-5657.91183186931,-3415.18097254796
1 Jan 2020 20:48:58.000000000,2240.10884476145,-5661.91259550217,-3408.67336588361
1 Jan 2020 20:48:59.000000000,2239.90901633292,-5665.90671858373,-3402.16176064971
1 Jan 2020 20:49:00.000000000,2239.70599024586,-5669.89419598326,-3395.64616448491
1 Jan 2020 20:49:01.000000000,2239.4997677067,-5673.8750225783,-3389.12658503229
1 Jan 2020 20:49:02.000000000,2239.29034992686,-5677.84919325414,-3382.60302993961
1 Jan 2020 20:49:03.000000000,2239.0777381217,-5681.81670290408,-3376.07550685954
1 Jan 2020 20:49:04.000000000,2238.8619335116,-5685.77754642935,-3369.54402344908
1 Jan 2020 20:49:05.000000000,2238.64293732088,-5689.73171873917,-3363.00858737019
1 Jan 2020 20:49:06.000000000,2238.4207507787,-5693.67921475077,-3356.46920628915
1 Jan 2020 20:49:07.000000000,2238.19537511871,-5697.62002938914,-3349.9258878772
1 Jan 2020 20:49:08.000000000,2237.9668115785,-5701.55415758762,-3343.37863980994
1 Jan 2020 20:49:09.000000000,2237.73506140103,-5705.48159428719,-3336.82746976758
1 Jan 2020 20:49:10.000000000,2237.5001258328,-5709.40233443702,-3330.2723854352
1 Jan 2020 20:49:11.000000000,2237.26200612542,-5713.31637299422,-3323.71339450211
1 Jan 2020 20:49:12.000000000,2237.02070353443,-5717.22370492394,-3317.15050466255
1 Jan 2020 20:49:13.000000000,2236.77621932036,-5721.12432519926,-3310.58372361509
1 Jan 2020 20:49:14.000000000,2236.52855474778,-5725.01822880145,-3304.01305906285
1 Jan 2020 20:49:15.000000000,2236.2777110857,-5728.90541071965,-3297.43851871378
1 Jan 2020 20:49:16.000000000,2236.02368960797,-5732.78586595111,-3290.86011028
1 Jan 2020 20:49:17.000000000,2235.76649159224,-5736.65958950113,-3284.27784147855
1 Jan 2020 20:49:18.000000000,2235.5061183215,-5740.52657638293,-3277.69172003062
1 Jan 2020 20:49:19.000000000,2235.24257108225,-5744.38682161795,-3271.1017536623
1 Jan 2020 20:49:20.000000000,2234.97585116608,-5748.24032023555,-3264.50795010391
1 Jan 2020 20:49:21.000000000,2234.70595986852,-5752.0870672734,-3257.91031709026
1 Jan 2020 20:49:22.000000000,2234.43289849,-5755.92705777686,-3251.30886236093
1 Jan 2020 20:49:23.000000000,2234.15666833487,-5759.76028679978,-3244.70359365964
1 Jan 2020 20:49:24.000000000,2233.87727071244,-5763.58674940372,-3238.09451873492
1 Jan 2020 20:49:25.000000000,2233.59470693603,-5767.40644065864,-3231.48164533941
1 Jan 2020 20:49:26.000000000,2233.30897832324,-5771.21935564248,-3224.86498123058
1 Jan 2020 20:49:27.000000000,2233.02008619687,-5775.02548944113,-3218.24453417006
1 Jan 2020 20:49:28.000000000,2232.72803188324,-5778.82483714893,-3211.62031192393
1 Jan 2020 20:49:29.000000000,2232.4328167137,-5782.61739386795,-3204.99232226295
1 Jan 2020 20:49:30.000000000,2232.13444202349,-5786.40315470879,-3198.36057296197
1 Jan 2020 20:49:31.000000000,2231.83290915278,-5790.18211478976,-3191.72507180057
1 Jan 2020 20:49:32.000000000,2231.52821944561,-5793.95426923767,-3185.08582656251
1 Jan 2020 20:49:33.000000000,2231.22037425096,-5797.71961318728,-3178.4428450359
1 Jan 2020 20:49:34.000000000,2230.90937492164,-5801.47814178153,-3171.79613501352
1 Jan 2020 20:49:35.000000000,2230.5952228153,-5805.2298501716,-3165.14570429217
1 Jan 2020 20:49:36.000000000,2230.27791929391,-5808.97473351659,-3158.49156067335
1 Jan 2020 20:49:37.000000000,2229.9574657235,-5812.71278698415,-3151.83371196259
1 Jan 2020 20:49:38.000000000,2229.63386347495,-5816.4440057497,-3145.1721659701
1 Jan 2020 20:49:39.000000000,2229.30711392304,-5820.16838499718,-3138.50693051016
1 Jan 2020 20:49:40.000000000,2228.97721844742,-5823.88591991853,-3131.8380134014
1 Jan 2020 20:49:41.000000000,2228.64417843161,-5827.59660571392,-3125.16542246702
1 Jan 2020 20:49:42.000000000,2228.30799526401,-5831.30043759173,-3118.48916553415
1 Jan 2020 20:49:43.000000000,2227.96867033688,-5834.99741076855,-3111.80925043463
1 Jan 2020 20:49:44.000000000,2227.62620504723,-5838.68752046922,-3105.12568500419
1 Jan 2020 20:49:45.000000000,2227.28060079643,-5842.37076192662,-3098.43847708321
1 Jan 2020 20:49:46.000000000,2226.93185898983,-5846.04713038213,-3091.74763451609
1 Jan 2020 20:49:47.000000000,2226.57998103751,-5849.71662108522,-3085.05316515149
1 Jan 2020 20:49:48.000000000,2226.22496835379,-5853.37922929351,-3078.35507684256
1 Jan 2020 20:49:49.000000000,2225.86682235748,-5857.03495027299,-3071.65337744639
1 Jan 2020 20:49:50.000000000,2225.50554447131,-5860.68377929788,-3064.94807482461
1 Jan 2020 20:49:51.000000000,2225.14113612291,-5864.32571165058,-3058.23917684286
1 Jan 2020 20:49:52.000000000,2224.77359874387,-5867.9607426219,-3051.52669137097
1 Jan 2020 20:49:53.000000000,2224.40293377008,-5871.58886751079,-3044.81062628323
1 Jan 2020 20:49:54.000000000,2224.0291426422,-5875.21008162452,-3038.09098945781
1 Jan 2020 20:49:55.000000000,2223.65222680468,-5878.82438027862,-3031.3677887774
1 Jan 2020 20:49:56.000000000,2223.27218770669,-5882.43175879698,-3024.64103212853
1 Jan 2020 20:49:57.000000000,2222.88902680161,-5886.03221251162,-3017.91072740223
1 Jan 2020 20:49:58.000000000,2222.50274554728,-5889.62573676296,-3011.17688249347
1 Jan 2020 20:49:59.000000000,2222.11334540546,-5893.21232689987,-3004.43950530133
1 Jan 2020 20:50:00.000000000,2221.72082784275,-5896.7919782792,-2997.69860372933
1 Jan 2020 20:50:01.000000000,2221.32519432954,-5900.36468626649,-2990.95418568474
1 Jan 2020 20:50:02.000000000,2220.92644634109,-5903.93044623523,-2984.20625907935
1 Jan 2020 20:50:03.000000000,2220.52458535654,-5907.48925356756,-2977.45483182867
1 Jan 2020 20:50:04.000000000,2220.11961285935,-5911.04110365379,-2970.69991185269
1 Jan 2020 20:50:05.000000000,2219.71153033756,-5914.58599189258,-2963.94150707523
1 Jan 2020 20:50:06.000000000,2219.30033928336,-5918.12391369102,-2957.17962542421
1 Jan 2020 20:50:07.000000000,2218.88604119339,-5921.65486446435,-2950.41427483188
1 Jan 2020 20:50:08.000000000,2218.46863756819,-5925.17883963649,-2943.64546323419
