TIME[UTC],X[km],Y[km],Z[km]
1 Jan 2020 20:27:00.000000000,2725.38181761738,-5144.61675274073,-3847.0259170415
1 Jan 2020 20:27:01.000000000,2725.80850753901,-5149.03522861953,-3840.80723096486
1 Jan 2020 20:27:02.000000000,2726.2313704584,-5153.44775371491,-3834.58403940092
1 Jan 2020 20:27:03.000000000,2726.65040675016,-5157.854322316,-3828.35634964985
1 Jan 2020 20:27:04.000000000,2727.06561679409,-5162.25492871903,-3822.12416901708
1 Jan 2020 20:27:05.000000000,2727.4770009754,-5166.64956722718,-3815.88750481332
1 Jan 2020 20:27:06.000000000,2727.88455968437,-5171.03823215076,-3809.64636435454
1 Jan 2020 20:27:07.000000000,2728.28829331659,-5175.42091780713,-3803.40075496194
1 Jan 2020 20:27:08.000000000,2728.68820227327,-5179.7976185205,-3797.15068396199
1 Jan 2020 20:27:09.000000000,2729.08428696046,-5184.16832862238,-3790.89615868638
1 Jan 2020 20:27:10.000000000,2729.47654778996,-5188.53304245108,-3784.63718647203
1 Jan 2020 20:27:11.000000000,2729.86498517841,-5192.89175435223,-3778.37377466107
1 Jan 2020 20:27:12.000000000,2730.24959954808,-5197.24445867832,-3772.10593060084
1 Jan 2020 20:27:13.000000000,2730.63039132641,-5201.59114978902,-3765.83366164388
1 Jan 2020 20:27:14.000000000,2731.00736094623,-5205.93182205098,-3759.55697514793
1 Jan 2020 20:27:15.000000000,2731.38050884534,-5210.26646983816,-3753.27587847589
1 Jan 2020 20:27:16.000000000,2731.74983546713,-5214.59508753142,-3746.99037899586
1 Jan 2020 20:27:17.000000000,2732.1153412603,-5218.91766951872,-3740.70048408108
1 Jan 2020 20:27:18.000000000,2732.47702667847,-5223.23421019533,-3734.40620110997
1 Jan 2020 20:27:19.000000000,2732.83489218101,-5227.54470396339,-3728.10753746608
1 Jan 2020 20:27:20.000000000,2733.18893823208,-5231.84914523241,-3721.8045005381
1 Jan 2020 20:27:21.000000000,2733.53916530162,-5236.14752841881,-3715.49709771986
1 Jan 2020 20:27:22.000000000,2733.88557386434,-5240.43984794638,-3709.1853364103
1 Jan 2020 20:27:23.000000000,2734.2281644007,-5244.72609824582,-3702.86922401348
1 Jan 2020 20:27:24.000000000,2734.56693739597,-5249.00627375523,-3696.54876793856
1 Jan 2020 20:27:25.000000000,2734.90189334103,-5253.28036891969,-3690.2239755998
1 Jan 2020 20:27:26.000000000,2735.23303273204,-5257.54837819147,-3683.89485441655
1 Jan 2020 20:27:27.000000000,2735.56035607007,-5261.81029603017,-3677.56141181323
1 Jan 2020 20:27:28.000000000,2735.8838638619,-5266.06611690237,-3671.22365521932
1 Jan 2020 20:27:29.000000000,2736.20355661914,-5270.31583528205,-3664.88159206939
1 Jan 2020 20:27:30.000000000,2736.51943485909,-5274.55944565018,-3658.53522980303
1 Jan 2020 20:27:31.000000000,2736.83149910388,-5278.79694249517,-3652.18457586489
1 Jan 2020 20:27:32.000000000,2737.13974988133,-5283.0283203124,-3645.82963770466
1 Jan 2020 20:27:33.000000000,2737.44418772408,-5287.25357360471,-3639.47042277704
1 Jan 2020 20:27:34.000000000,2737.74481317034,-5291.472696882,-3633.10693854175
1 Jan 2020 20:27:35.000000000,2738.04162676361,-5295.6856846614,-3626.73919246353
1 Jan 2020 20:27:36.000000000,2738.33462905225,-5299.89253146746,-3620.36719201211
1 Jan 2020 20:27:37.000000000,2738.62382059037,-5304.09323183176,-3613.99094466221
1 Jan 2020 20:27:38.000000000,2738.90920193683,-5308.28778029337,-3607.61045789354
1 Jan 2020 20:27:39.000000000,2739.19077365623,-5312.47617139837,-3601.22573919077
1 Jan 2020 20:27:40.000000000,2739.46853631794,-5316.65839970037,-3594.83679604354
1 Jan 2020 20:27:41.000000000,2739.74249049702,-5320.83445976001,-3588.44363594645
1 Jan 2020 20:27:42.000000000,2740.01263677319,-5325.00434614554,-3582.04626639905
